,ano,ativo,peso
0,2016,ALOS3,0.1
1,2016,AXIA3,0.1
2,2016,BRAP4,0.02
3,2016,CPFE3,0.0359
4,2016,CSMG3,0.0923
5,2016,ENGI11,0.1
6,2016,EQTL3,0.026
7,2016,FLRY3,0.1
8,2016,IRBR3,0.1
9,2016,MGLU3,0.0994
10,2016,POMO4,0.02
11,2016,RADL3,0.1
12,2016,SMTO3,0.02
13,2016,TEND3,0.0658
14,2016,YDUQ3,0.0206
15,2017,ALOS3,0.02
16,2017,ANIM3,0.0597
17,2017,AZZA3,0.0263
18,2017,BRAV3,0.1
19,2017,CVCB3,0.0689
20,2017,ENGI11,0.02
21,2017,FLRY3,0.0451
22,2017,IRBR3,0.1
23,2017,PRIO3,0.1
24,2017,RENT3,0.0661
25,2017,SLCE3,0.1
26,2017,SMFT3,0.1
27,2017,SUZB3,0.096
28,2017,VBBR3,0.0732
29,2017,WEGE3,0.0247
30,2018,ALOS3,0.0682
31,2018,BRAV3,0.1
32,2018,CMIG4,0.0271
33,2018,CPFE3,0.0434
34,2018,CXSE3,0.1
35,2018,DIRR3,0.0224
36,2018,IGTI11,0.1
37,2018,IRBR3,0.1
38,2018,MDNE3,0.1
39,2018,MGLU3,0.027
40,2018,SLCE3,0.02
41,2018,SMFT3,0.1
42,2018,SUZB3,0.039
43,2018,TAEE11,0.0528
44,2018,VBBR3,0.1
45,2019,ALOS3,0.0692
46,2019,BEEF3,0.0641
47,2019,BPAC11,0.0232
48,2019,CPLE3,0.0947
49,2019,CXSE3,0.0692
50,2019,ENEV3,0.1
51,2019,IGTI11,0.0692
52,2019,JHSF3,0.079
53,2019,MDNE3,0.0692
54,2019,PRIO3,0.0502
55,2019,RADL3,0.0539
56,2019,SMFT3,0.0692
57,2019,TOTS3,0.1
58,2019,VBBR3,0.0692
59,2019,WEGE3,0.02
60,2020,ALOS3,0.1
61,2020,BRAP4,0.0355
62,2020,CSNA3,0.1
63,2020,CXSE3,0.1
64,2020,IGTI11,0.1
65,2020,ISAE4,0.1
66,2020,KLBN11,0.02
67,2020,MDNE3,0.0313
68,2020,MGLU3,0.1
69,2020,PRIO3,0.0517
70,2020,SMFT3,0.0214
71,2020,SUZB3,0.1
72,2020,TAEE11,0.02
73,2020,VBBR3,0.02
74,2020,WEGE3,0.1
75,2021,ALOS3,0.1
76,2021,BEEF3,0.0202
77,2021,BRAP4,0.1
78,2021,BRKM5,0.1
79,2021,CPLE3,0.0415
80,2021,EMBJ3,0.1
81,2021,ISAE4,0.02
82,2021,PETR3,0.0362
83,2021,PRIO3,0.0327
84,2021,SLCE3,0.1
85,2021,SMTO3,0.02
86,2021,SUZB3,0.0477
87,2021,TAEE11,0.1
88,2021,VBBR3,0.0817
89,2021,VIVT3,0.1
90,2022,ALOS3,0.0728
91,2022,BBSE3,0.1
92,2022,BEEF3,0.0491
93,2022,BRAP4,0.1
94,2022,CPFE3,0.1
95,2022,CPLE3,0.0298
96,2022,EQTL3,0.02
97,2022,HYPE3,0.1
98,2022,ITUB3,0.02
99,2022,ITUB4,0.02
100,2022,PETR3,0.0695
101,2022,PETR4,0.02
102,2022,PRIO3,0.1
103,2022,SBSP3,0.1
104,2022,TAEE11,0.0988
105,2023,ALOS3,0.09
106,2023,CSMG3,0.0274
107,2023,CXSE3,0.1
108,2023,EMBJ3,0.1
109,2023,IRBR3,0.0349
110,2023,MDNE3,0.02
111,2023,PETR4,0.1
112,2023,POMO4,0.1
113,2023,PSSA3,0.02
114,2023,SAPR11,0.1
115,2023,SUZB3,0.0853
116,2023,TEND3,0.033
117,2023,UGPA3,0.1
118,2023,VIVT3,0.0693
119,2024,BBSE3,0.1
120,2024,CMIG4,0.1
121,2024,CSMG3,0.05
122,2024,CXSE3,0.06
123,2024,DIRR3,0.0293
124,2024,EMBJ3,0.1
125,2024,KLBN11,0.02
126,2024,PETR3,0.1
127,2024,PETR4,0.0626
128,2024,POMO4,0.02
129,2024,PSSA3,0.1
130,2024,SAPR11,0.02
131,2024,SBSP3,0.0482
132,2024,SUZB3,0.0898
133,2024,WEGE3,0.1
134,2025,AXIA3,0.0253
135,2025,BRAP4,0.0739
136,2025,COGN3,0.1
137,2025,CPFE3,0.1
138,2025,CSMG3,0.1
139,2025,EMBJ3,0.0716
140,2025,ENEV3,0.0514
141,2025,ITUB3,0.0833
142,2025,JHSF3,0.0881
143,2025,MDNE3,0.0544
144,2025,PSSA3,0.0238
145,2025,SAPR11,0.0458
146,2025,TAEE11,0.0624
147,2025,TOTS3,0.02
148,2025,VALE3,0.1
149,2026,BRAP4,0.0771
150,2026,COGN3,0.0975
151,2026,CPFE3,0.1
152,2026,CSMG3,0.1
153,2026,EMBJ3,0.0687
154,2026,ENEV3,0.0549
155,2026,ITUB3,0.0893
156,2026,JHSF3,0.0924
157,2026,MDNE3,0.0497
158,2026,PSSA3,0.0205
159,2026,SAPR11,0.0431
160,2026,TAEE11,0.0667
161,2026,VALE3,0.1
