ativo,ticker,dt_refer,earnings_yield,ROIC
AXIA ENERGIA S.A.,AXIA6.SA,2025-03-31,"0,02679188863315161","0,01892078272574795"
AXIA ENERGIA S.A.,AXIA6.SA,2025-06-30,"0,001063208873764746","0,0007667746512564557"
AXIA ENERGIA S.A.,AXIA6.SA,2025-09-30,"-0,01801547340108237","-0,01639474933272612"
ENERGISA S.A.,ENGI11.SA,2025-03-31,"2,376976547600417e-05","0,03267282095976692"
ENERGISA S.A.,ENGI11.SA,2025-06-30,"1,728905272473544e-05","0,02819529395218201"
ENERGISA S.A.,ENGI11.SA,2025-09-30,"1,613178959299795e-05","0,0269306364266447"
PORTO SEGURO S.A.,PSSA3.SA,2025-03-31,"0,03776918161307655","0,07053064610485975"
PORTO SEGURO S.A.,PSSA3.SA,2025-06-30,"0,02587367414322701","0,06577213695670003"
PORTO SEGURO S.A.,PSSA3.SA,2025-09-30,"0,02718216959259022","0,05897803003187264"
RUMO S.A.,RAIL3.SA,2025-03-31,"2,773660287318288e-05","0,02839372718113706"
RUMO S.A.,RAIL3.SA,2025-06-30,"3,85005769616961e-05","0,04562642491822209"
RUMO S.A.,RAIL3.SA,2025-09-30,"4,852734968056936e-05","0,04710564197150104"
CPFL ENERGIA S.A.,CPFE3.SA,2025-03-31,"8,100654428863622e-05","0,06556276614220838"
CPFL ENERGIA S.A.,CPFE3.SA,2025-06-30,"5,557865243355257e-05","0,04932340871595702"
CPFL ENERGIA S.A.,CPFE3.SA,2025-09-30,"6,095439755454582e-05","0,05093966436722365"
ENGIE BRASIL ENERGIA S.A.,EGIE3.SA,2025-03-31,"8,12810037491532e-05","0,05153648368880328"
ENGIE BRASIL ENERGIA S.A.,EGIE3.SA,2025-06-30,"6,04758513951096e-05","0,04420812415601463"
ENGIE BRASIL ENERGIA S.A.,EGIE3.SA,2025-09-30,"6,541705881550095e-05","0,04040874589975595"
TELEFÔNICA BRASIL S.A,VIVT3.SA,2025-03-31,"5,091511466195709e-05","0,02465229090788238"
TELEFÔNICA BRASIL S.A,VIVT3.SA,2025-06-30,"2,310994967274738e-05","0,02841172716726831"
TELEFÔNICA BRASIL S.A,VIVT3.SA,2025-09-30,"2,577828016582023e-05","0,03470341904735762"
COGNA EDUCAÇÃO S.A.,COGN3.SA,2025-03-31,"9,373645779681327e-05","0,01475571827476566"
COGNA EDUCAÇÃO S.A.,COGN3.SA,2025-06-30,"6,732625299425113e-05","0,01498498210702564"
COGNA EDUCAÇÃO S.A.,COGN3.SA,2025-09-30,"3,745097950759739e-05","0,009797926199713633"
MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.,MOTV3.SA,2025-03-31,,"0,04060581634372598"
MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.,MOTV3.SA,2025-06-30,"6,104684626663085e-05","0,0332241490439584"
MOTIVA INFRAESTRUTURA DE MOBILIDADE S.A.,MOTV3.SA,2025-09-30,"0,0001042451776348918","0,060434068869678"
HYPERA S.A.,HYPE3.SA,2025-03-31,"-1,934771750992636e-05","-0,01171349000065968"
HYPERA S.A.,HYPE3.SA,2025-06-30,"3,895130802450204e-05","0,0329343592453602"
HYPERA S.A.,HYPE3.SA,2025-09-30,"4,818189801335457e-05","0,03467490037568124"
ISA ENERGIA BRASIL,ISAE4.SA,2025-03-31,"9,108065966221544e-05","0,0361385015026769"
ISA ENERGIA BRASIL,ISAE4.SA,2025-06-30,"2,829294645088287e-05","0,01178779495744873"
ISA ENERGIA BRASIL,ISAE4.SA,2025-09-30,"8,338817975042538e-05","0,03605207297834904"
EQUATORIAL S.A.,EQTL3.SA,2025-03-31,"6,357335887672582e-05","0,0286974173956921"
EQUATORIAL S.A.,EQTL3.SA,2025-06-30,"6,856874038462154e-05","0,03483721018544964"
EQUATORIAL S.A.,EQTL3.SA,2025-09-30,"5,372061957399989e-05","0,02647749613647469"
MARFRIG GLOBAL FOODS S.A.,MBRF3.SA,2025-03-31,"8,195326230144782e-05","0,01596635007392518"
MARFRIG GLOBAL FOODS S.A.,MBRF3.SA,2025-06-30,"5,773483254161318e-05","0,01359618369230267"
MARFRIG GLOBAL FOODS S.A.,MBRF3.SA,2025-09-30,"5,659830232732678e-05","0,01997248979108288"
ENEVA S.A,ENEV3.SA,2025-03-31,"0,02548752098585895","0,02695428498696801"
ENEVA S.A,ENEV3.SA,2025-06-30,"3,855538015028524e-05","0,02710553485390699"
ENEVA S.A,ENEV3.SA,2025-09-30,"3,349604943856784e-05","0,02776822494656193"
HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.,HAPV3.SA,2025-03-31,"2,727976344586664e-06","0,01090824098046721"
HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.,HAPV3.SA,2025-06-30,"7,95739772788451e-06","0,002379602651311033"
HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.,HAPV3.SA,2025-09-30,"1,976856472409381e-05","0,005724053152897872"
ALLOS S.A.,ALOS3.SA,2025-03-31,"5,125760993135493e-05","0,03161629454256751"
ALLOS S.A.,ALOS3.SA,2025-06-30,"3,306979508109561e-05","0,02450410941343402"
ALLOS S.A.,ALOS3.SA,2025-09-30,"2,88792474503115e-05","0,02448364281471147"
REDE D'OR SÃO LUIZ S.A.,RDOR3.SA,2025-03-31,"3,911330506299639e-05","0,03822950445395784"
REDE D'OR SÃO LUIZ S.A.,RDOR3.SA,2025-06-30,"3,190737002811538e-05","0,03735925589570108"
REDE D'OR SÃO LUIZ S.A.,RDOR3.SA,2025-09-30,"3,232139350226469e-05","0,04155042576921573"
AMBEV S.A.,ABEV3.SA,2025-03-31,"0,03100360913659866","0,07178983385759298"
AMBEV S.A.,ABEV3.SA,2025-06-30,"0,0237091059909684","0,05494500973279508"
AMBEV S.A.,ABEV3.SA,2025-09-30,"0,03822425385557599","0,08148473748132623"
SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3.SA,2025-03-31,"3,256395117589422e-05","0,03787268388133597"
SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3.SA,2025-06-30,"3,013775929290767e-05","0,04072003379400672"
SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.,SMFT3.SA,2025-09-30,"2,808324016368263e-05","0,03982490785219504"
EMBRAER S.A.,EMBJ3.SA,2025-03-31,,"0,01096168565440652"
EMBRAER S.A.,EMBJ3.SA,2025-06-30,,"0,03613615334478245"
EMBRAER S.A.,EMBJ3.SA,2025-09-30,,"0,03128456948584672"
MULTIPLAN - EMPREEND IMOBILIARIOS S.A.,MULT3.SA,2025-03-31,"3,436840480244965e-05","0,03244420599973059"
MULTIPLAN - EMPREEND IMOBILIARIOS S.A.,MULT3.SA,2025-06-30,"3,302475987600661e-05","0,03916059442578248"
