,ano,ativo,peso
0,2016,AXIA3,0.1517
1,2016,CSMG3,0.1574
2,2016,FLRY3,0.3298
3,2016,MGLU3,0.1473
4,2016,RADL3,0.2139
5,2017,ANIM3,0.1054
6,2017,CVCB3,0.2276
7,2017,PRIO3,0.2511
8,2017,SLCE3,0.2428
9,2017,SUZB3,0.1731
10,2018,CMIG4,0.142
11,2018,CPFE3,0.1778
12,2018,IRBR3,0.35
13,2018,SUZB3,0.1196
14,2018,TAEE11,0.2107
15,2019,CPLE3,0.1691
16,2019,ENEV3,0.35
17,2019,JHSF3,0.1787
18,2019,PRIO3,0.0936
19,2019,TOTS3,0.2086
20,2020,CSNA3,0.2261
21,2020,ISAE4,0.2129
22,2020,MGLU3,0.1092
23,2020,SUZB3,0.1017
24,2020,WEGE3,0.35
25,2021,BRAP4,0.02
26,2021,BRKM5,0.3442
27,2021,EMBJ3,0.2289
28,2021,SLCE3,0.2379
29,2021,TAEE11,0.169
30,2022,BBSE3,0.35
31,2022,BRAP4,0.1415
32,2022,HYPE3,0.2688
33,2022,PRIO3,0.1161
34,2022,SBSP3,0.1237
35,2023,CXSE3,0.35
36,2023,EMBJ3,0.1137
37,2023,PETR4,0.1369
38,2023,POMO4,0.1627
39,2023,SAPR11,0.2366
40,2024,CMIG4,0.1895
41,2024,EMBJ3,0.2775
42,2024,PETR3,0.1584
43,2024,PSSA3,0.2315
44,2024,WEGE3,0.1431
45,2025,COGN3,0.1601
46,2025,CPFE3,0.3141
47,2025,CSMG3,0.3244
48,2025,EMBJ3,0.0505
49,2025,VALE3,0.1509
50,2026,COGN3,0.1512
51,2026,CPFE3,0.3157
52,2026,CSMG3,0.3274
53,2026,EMBJ3,0.0527
54,2026,VALE3,0.153
