,ano,ativo,peso
0,2016,ANIM3,0.0358
1,2016,AXIA3,0.077
2,2016,BRAP4,0.0465
3,2016,CSMG3,0.1468
4,2016,ENGI11,0.1797
5,2016,FLRY3,0.1772
6,2016,MGLU3,0.1053
7,2016,MOVI3,0.1014
8,2016,PRIO3,0.0565
9,2016,SUZB3,0.0738
10,2017,ABEV3,0.0578
11,2017,ANIM3,0.054
12,2017,CVCB3,0.1054
13,2017,ENGI11,0.0765
14,2017,IRBR3,0.2
15,2017,PSSA3,0.0715
16,2017,RENT3,0.0948
17,2017,SLCE3,0.1516
18,2017,SUZB3,0.1684
19,2017,VALE3,0.02
20,2018,BPAC11,0.0551
21,2018,CXSE3,0.1802
22,2018,DIRR3,0.0517
23,2018,ENEV3,0.0966
24,2018,IRBR3,0.2
25,2018,ISAE4,0.0522
26,2018,MDNE3,0.2
27,2018,PRIO3,0.0665
28,2018,SUZB3,0.0608
29,2018,TOTS3,0.037
30,2019,CPLE3,0.2
31,2019,CXSE3,0.0891
32,2019,ENEV3,0.2
33,2019,IGTI11,0.02
34,2019,JHSF3,0.0284
35,2019,MGLU3,0.0226
36,2019,RADL3,0.2
37,2019,SMFT3,0.02
38,2019,VBBR3,0.02
39,2019,WEGE3,0.2
40,2020,BPAC11,0.0396
41,2020,CSNA3,0.1213
42,2020,ENEV3,0.0546
43,2020,MGLU3,0.0459
44,2020,PRIO3,0.0583
45,2020,SLCE3,0.1625
46,2020,SUZB3,0.1212
47,2020,TAEE11,0.2
48,2020,VALE3,0.0492
49,2020,VBBR3,0.1475
50,2021,ALOS3,0.02
51,2021,BEEF3,0.0713
52,2021,BRAP4,0.1646
53,2021,CPFE3,0.0348
54,2021,PETR3,0.2
55,2021,PETR4,0.02
56,2021,SMTO3,0.0943
57,2021,TAEE11,0.1749
58,2021,TOTS3,0.02
59,2021,VIVT3,0.2
60,2022,BBAS3,0.0509
61,2022,BBSE3,0.2
62,2022,CSMG3,0.0227
63,2022,DIRR3,0.0817
64,2022,EMBJ3,0.2
65,2022,PETR3,0.0936
66,2022,PETR4,0.02
67,2022,POMO4,0.1611
68,2022,PRIO3,0.15
69,2023,CSMG3,0.0225
70,2023,CXSE3,0.2
71,2023,EMBJ3,0.0678
72,2023,MDNE3,0.0579
73,2023,PETR4,0.1355
74,2023,POMO4,0.0732
75,2023,PSSA3,0.0569
76,2023,SBSP3,0.1007
77,2023,SUZB3,0.146
78,2023,UGPA3,0.1394
79,2024,ABEV3,0.02
80,2024,BBSE3,0.2
81,2024,CPFE3,0.1897
82,2024,DIRR3,0.02
83,2024,EMBJ3,0.1532
84,2024,IRBR3,0.02
85,2024,PETR3,0.1628
86,2024,PSSA3,0.1943
87,2024,SAPR11,0.02
88,2025,CSMG3,0.2
89,2025,ENEV3,0.0973
90,2025,ITUB3,0.02
91,2025,JHSF3,0.0996
92,2025,PRIO3,0.1402
93,2025,SAPR11,0.0297
94,2025,TEND3,0.0216
95,2025,VALE3,0.1378
96,2025,VBBR3,0.0538
97,2025,VIVT3,0.2
98,2026,CSMG3,0.2
99,2026,ENEV3,0.1019
100,2026,ITUB3,0.0213
101,2026,JHSF3,0.1031
102,2026,PRIO3,0.139
103,2026,SAPR11,0.031
104,2026,TEND3,0.0236
105,2026,VALE3,0.1367
106,2026,VBBR3,0.0434
107,2026,VIVT3,0.2
