,ano,ativo,peso
0,2016,B3SA3,0.02
1,2016,COGN3,0.02
2,2016,CSAN3,0.2
3,2016,FLRY3,0.1
4,2016,ISAE4,0.2
5,2016,LREN3,0.02
6,2016,MULT3,0.02
7,2016,RADL3,0.02
8,2016,TAEE11,0.2
9,2016,UGPA3,0.2
10,2017,AXIA3,0.02
11,2017,BBSE3,0.2
12,2017,COGN3,0.2
13,2017,CSAN3,0.02
14,2017,CSMG3,0.2
15,2017,ECOR3,0.02
16,2017,HYPE3,0.02
17,2017,ISAE4,0.2
18,2017,VALE3,0.02
19,2017,VIVT3,0.1
20,2018,ABEV3,0.02
21,2018,ANIM3,0.02
22,2018,CSMG3,0.1
23,2018,ECOR3,0.2
24,2018,ITSA4,0.02
25,2018,MULT3,0.02
26,2018,SAPR11,0.2
27,2018,SBSP3,0.2
28,2018,SLCE3,0.2
29,2018,VIVT3,0.02
30,2019,ABEV3,0.02
31,2019,AXIA3,0.02
32,2019,B3SA3,0.2
33,2019,CSAN3,0.2
34,2019,CSNA3,0.02
35,2019,ISAE4,0.02
36,2019,MGLU3,0.02
37,2019,MULT3,0.2
38,2019,SBSP3,0.2
39,2019,VALE3,0.1
40,2020,B3SA3,0.02
41,2020,CMIG4,0.2
42,2020,CPFE3,0.02
43,2020,CPLE3,0.02
44,2020,CSAN3,0.02
45,2020,CSMG3,0.2
46,2020,ITSA4,0.0704
47,2020,MOTV3,0.2
48,2020,SAPR11,0.2
49,2020,WEGE3,0.0496
50,2021,BRAP4,0.2
51,2021,CPFE3,0.2
52,2021,CSMG3,0.2
53,2021,CYRE3,0.02
54,2021,ENGI11,0.2
55,2021,ISAE4,0.02
56,2021,ITSA4,0.02
57,2021,SBSP3,0.02
58,2021,SLCE3,0.02
59,2021,TAEE11,0.1
60,2022,BRKM5,0.15
61,2022,CSNA3,0.2
62,2022,GOAU4,0.2
63,2022,MOTV3,0.2
64,2022,PETR3,0.02
65,2022,PETR4,0.02
66,2022,SAPR11,0.15
67,2022,SBSP3,0.02
68,2022,USIM5,0.02
69,2022,VALE3,0.02
70,2023,B3SA3,0.02
71,2023,BBSE3,0.02
72,2023,BEEF3,0.02
73,2023,GOAU4,0.02
74,2023,MOTV3,0.2
75,2023,MULT3,0.2
76,2023,PETR3,0.1
77,2023,PETR4,0.2
78,2023,SBSP3,0.2
79,2023,SUZB3,0.02
80,2024,ABEV3,0.02
81,2024,ALOS3,0.02
82,2024,BBSE3,0.02
83,2024,CMIG4,0.2
84,2024,CSMG3,0.02
85,2024,ECOR3,0.2
86,2024,IGTI11,0.1
87,2024,MULT3,0.2
88,2024,SAPR11,0.02
89,2024,VBBR3,0.2
90,2025,ALOS3,0.02
91,2025,ANIM3,0.02
92,2025,B3SA3,0.02
93,2025,COGN3,0.1
94,2025,CPFE3,0.02
95,2025,ENGI11,0.2
96,2025,FLRY3,0.2
97,2025,MULT3,0.2
98,2025,PSSA3,0.02
99,2025,TAEE11,0.2
100,2026,ABEV3,0.1
101,2026,ALOS3,0.2
102,2026,ANIM3,0.2
103,2026,AZZA3,0.02
104,2026,ECOR3,0.02
105,2026,IGTI11,0.02
106,2026,JHSF3,0.2
107,2026,MULT3,0.02
108,2026,SBSP3,0.2
109,2026,TAEE11,0.02
