,ano,ativo,peso
0,2026,ABEV3,0.1624
1,2026,BRAP4,0.02
2,2026,CSMG3,0.1887
3,2026,PETR4,0.1619
4,2026,PRIO3,0.1575
5,2026,SLCE3,0.0895
6,2026,USIM5,0.0432
7,2026,VALE3,0.0928
8,2026,WEGE3,0.064
9,2025,BBSE3,0.2
10,2025,BRAV3,0.0604
11,2025,COGN3,0.083
12,2025,CPFE3,0.1783
13,2025,EMBJ3,0.1789
14,2025,PETR4,0.1727
15,2025,PSSA3,0.02
16,2025,SUZB3,0.0667
17,2024,CSMG3,0.0385
18,2024,CXSE3,0.2
19,2024,EMBJ3,0.1902
20,2024,ITUB3,0.1769
21,2024,PETR4,0.0598
22,2024,SUZB3,0.0797
23,2024,UGPA3,0.1002
24,2024,USIM5,0.1147
25,2023,BBSE3,0.2
26,2023,BRAP4,0.2
27,2023,CXSE3,0.02
28,2023,EMBJ3,0.2
29,2023,KLBN11,0.02
30,2023,POMO4,0.0738
31,2023,SAPR11,0.0768
32,2023,WEGE3,0.1694
33,2022,BBAS3,0.02
34,2022,BBSE3,0.1774
35,2022,BEEF3,0.0379
36,2022,BRAP4,0.2
37,2022,EGIE3,0.086
38,2022,PETR3,0.0388
39,2022,PETR4,0.02
40,2022,SMTO3,0.02
41,2022,TAEE11,0.2
42,2022,VIVT3,0.2
43,2021,BRAV3,0.0789
44,2021,BRKM5,0.1102
45,2021,CSNA3,0.1017
46,2021,EMBJ3,0.0834
47,2021,ISAE4,0.0779
48,2021,PRIO3,0.0388
49,2021,SLCE3,0.2
50,2021,SUZB3,0.0892
51,2021,TAEE11,0.2
52,2021,VALE3,0.02
53,2020,CPLE3,0.2
54,2020,ENEV3,0.02
55,2020,KLBN11,0.02
56,2020,MGLU3,0.02
57,2020,RADL3,0.1
58,2020,SLCE3,0.2
59,2020,VIVT3,0.2
60,2020,WEGE3,0.2
61,2019,BPAC11,0.0553
62,2019,CPFE3,0.1442
63,2019,ENEV3,0.0815
64,2019,IRBR3,0.1738
65,2019,ISAE4,0.1398
66,2019,JHSF3,0.0441
67,2019,PRIO3,0.0475
68,2019,SAPR11,0.1991
69,2019,SUZB3,0.0287
70,2019,TOTS3,0.0861
71,2018,BPAC11,0.0746
72,2018,CVCB3,0.02
73,2018,ENGI11,0.1738
74,2018,IRBR3,0.2
75,2018,PSSA3,0.0486
76,2018,RENT3,0.0929
77,2018,SLCE3,0.139
78,2018,SUZB3,0.1102
79,2018,TEND3,0.0777
80,2018,VALE3,0.0631
81,2017,AZZA3,0.059
82,2017,BRAP4,0.068
83,2017,CPFE3,0.2
84,2017,CSMG3,0.0566
85,2017,ENEV3,0.0465
86,2017,MGLU3,0.0401
87,2017,MOVI3,0.0982
88,2017,PRIO3,0.1748
89,2017,SLCE3,0.0852
90,2017,SUZB3,0.1716
91,2016,BRKM5,0.1232
92,2016,CSAN3,0.0733
93,2016,DIRR3,0.0542
94,2016,ENGI11,0.0307
95,2016,FLRY3,0.1504
96,2016,HYPE3,0.1742
97,2016,MGLU3,0.0357
98,2016,MRVE3,0.2
99,2016,SBSP3,0.0692
100,2016,SMTO3,0.0891
