,ano,ativo,peso
0,2026,ABEV3,0.1592
1,2026,CSMG3,0.2
2,2026,CXSE3,0.0218
3,2026,PETR3,0.02
4,2026,PETR4,0.1353
5,2026,PRIO3,0.1711
6,2026,SLCE3,0.0742
7,2026,USIM5,0.0471
8,2026,VALE3,0.1063
9,2026,WEGE3,0.0651
10,2025,BBSE3,0.2
11,2025,BRAV3,0.0808
12,2025,COGN3,0.116
13,2025,CPFE3,0.2
14,2025,EMBJ3,0.2
15,2025,EZTC3,0.02
16,2025,PETR3,0.02
17,2025,PETR4,0.1231
18,2025,PSSA3,0.02
19,2025,SUZB3,0.02
20,2024,BBSE3,0.0553
21,2024,CSMG3,0.0491
22,2024,CXSE3,0.2
23,2024,EMBJ3,0.2
24,2024,PETR4,0.0579
25,2024,POMO4,0.0217
26,2024,SBSP3,0.02
27,2024,SUZB3,0.1163
28,2024,UGPA3,0.1413
29,2024,USIM5,0.1384
30,2023,BBSE3,0.2
31,2023,BRAP4,0.2
32,2023,CSNA3,0.02
33,2023,CXSE3,0.02
34,2023,EMBJ3,0.2
35,2023,KLBN11,0.02
36,2023,POMO4,0.073
37,2023,SAPR11,0.0784
38,2023,VALE3,0.02
39,2023,WEGE3,0.1686
40,2022,BBSE3,0.1973
41,2022,BEEF3,0.0404
42,2022,BRAP4,0.2
43,2022,CPFE3,0.02
44,2022,EGIE3,0.0526
45,2022,ISAE4,0.02
46,2022,PETR3,0.0497
47,2022,PETR4,0.02
48,2022,TAEE11,0.2
49,2022,VIVT3,0.2
50,2021,BRAV3,0.0724
51,2021,BRKM5,0.1075
52,2021,CSNA3,0.1081
53,2021,EMBJ3,0.085
54,2021,ISAE4,0.084
55,2021,PRIO3,0.0476
56,2021,SLCE3,0.2
57,2021,SUZB3,0.0753
58,2021,TAEE11,0.2
59,2021,VALE3,0.02
60,2020,CPLE3,0.2
61,2020,CSAN3,0.02
62,2020,ENEV3,0.0289
63,2020,PRIO3,0.0257
64,2020,RADL3,0.0855
65,2020,SLCE3,0.2
66,2020,VIVT3,0.2
67,2020,WEGE3,0.2
68,2019,CMIG4,0.0333
69,2019,CPFE3,0.1414
70,2019,ENEV3,0.0739
71,2019,IRBR3,0.1877
72,2019,ISAE4,0.1558
73,2019,JHSF3,0.0487
74,2019,PRIO3,0.0487
75,2019,SAPR11,0.1851
76,2019,SUZB3,0.0268
77,2019,TOTS3,0.0986
78,2018,CVCB3,0.0319
79,2018,ENGI11,0.1901
80,2018,EQTL3,0.02
81,2018,IRBR3,0.2
82,2018,PSSA3,0.0296
83,2018,RENT3,0.1087
84,2018,SLCE3,0.1582
85,2018,SUZB3,0.1259
86,2018,TEND3,0.0811
87,2018,VALE3,0.0544
88,2017,AZZA3,0.0618
89,2017,BRAP4,0.0815
90,2017,CPFE3,0.171
91,2017,CSMG3,0.0689
92,2017,ENEV3,0.0423
93,2017,MGLU3,0.0517
94,2017,PRIO3,0.2
95,2017,SLCE3,0.0582
96,2017,SUZB3,0.2
97,2017,TAEE11,0.0646
98,2016,DIRR3,0.0781
99,2016,FLRY3,0.1394
100,2016,HYPE3,0.1476
101,2016,JHSF3,0.02
102,2016,MGLU3,0.032
103,2016,MRVE3,0.1325
104,2016,MULT3,0.2
105,2016,RADL3,0.2
106,2016,SBSP3,0.0304
