,ano,ativo,peso
0,2016,ALOS3,0.1
1,2016,BPAC11,0.02
2,2016,BRAV3,0.2
3,2016,EGIE3,0.02
4,2016,IGTI11,0.02
5,2016,MDNE3,0.2
6,2016,MOVI3,0.2
7,2016,SAPR11,0.02
8,2016,TEND3,0.2
9,2016,VBBR3,0.02
10,2017,ALOS3,0.02
11,2017,BRAV3,0.1
12,2017,CXSE3,0.2
13,2017,IGTI11,0.02
14,2017,IRBR3,0.2
15,2017,SAPR11,0.02
16,2017,SMFT3,0.2
17,2017,TEND3,0.02
18,2017,VBBR3,0.2
19,2017,YDUQ3,0.02
20,2018,ALOS3,0.2
21,2018,BRAV3,0.02
22,2018,CXSE3,0.1
23,2018,IGTI11,0.2
24,2018,IRBR3,0.02
25,2018,MDNE3,0.02
26,2018,SMFT3,0.2
27,2018,SMTO3,0.02
28,2018,VBBR3,0.02
29,2018,YDUQ3,0.2
30,2019,ALOS3,0.02
31,2019,BRAV3,0.2
32,2019,CXSE3,0.1
33,2019,ENEV3,0.02
34,2019,IGTI11,0.2
35,2019,MDNE3,0.02
36,2019,SMFT3,0.2
37,2019,VBBR3,0.02
38,2019,YDUQ3,0.2
39,2020,ALOS3,0.1
40,2020,BBSE3,0.02
41,2020,CXSE3,0.2
42,2020,IGTI11,0.2
43,2020,ISAE4,0.02
44,2020,PSSA3,0.02
45,2020,RADL3,0.02
46,2020,SMFT3,0.2
47,2020,VBBR3,0.2
48,2021,ALOS3,0.1
49,2021,CXSE3,0.2
50,2021,IGTI11,0.2
51,2021,SAPR11,0.02
52,2021,SMFT3,0.2
53,2021,VBBR3,0.2
54,2021,VIVT3,0.02
55,2022,ABEV3,0.0828
56,2022,ALOS3,0.2
57,2022,EGIE3,0.2
58,2022,ISAE4,0.2
59,2022,RADL3,0.0295
60,2022,SLCE3,0.0305
61,2022,SUZB3,0.0636
62,2022,TAEE11,0.0451
63,2022,VALE3,0.061
64,2022,VIVT3,0.0876
65,2023,ABEV3,0.0647
66,2023,ALOS3,0.2
67,2023,BRAP4,0.1045
68,2023,EMBJ3,0.0606
69,2023,ISAE4,0.0796
70,2023,POMO4,0.05
71,2023,SAPR11,0.0323
72,2023,SLCE3,0.0673
73,2023,SUZB3,0.141
74,2023,TAEE11,0.2
75,2024,BBDC4,0.0399
76,2024,BBSE3,0.2
77,2024,CXSE3,0.0731
78,2024,EMBJ3,0.0721
79,2024,PETR4,0.0799
80,2024,SUZB3,0.1328
81,2024,TAEE11,0.2
82,2024,VALE3,0.0959
83,2024,VIVT3,0.0485
84,2024,WEGE3,0.0578
85,2025,BBSE3,0.1555
86,2025,CPFE3,0.1468
87,2025,EGIE3,0.0394
88,2025,EMBJ3,0.0358
89,2025,PETR4,0.1282
90,2025,SAPR11,0.0791
91,2025,SLCE3,0.0387
92,2025,SUZB3,0.2
93,2025,TAEE11,0.1168
94,2025,WEGE3,0.0597
95,2026,ABEV3,0.2
96,2026,BBSE3,0.2
97,2026,ENEV3,0.0211
98,2026,GGBR4,0.0863
99,2026,PETR4,0.0895
100,2026,POMO4,0.0401
101,2026,PRIO3,0.0862
102,2026,SLCE3,0.1721
103,2026,SUZB3,0.0723
104,2026,WEGE3,0.0323
