,ano,ativo,peso
0,2016,CYRE3,0.065
1,2016,ECOR3,0.0556
2,2016,GGBR4,0.1018
3,2016,IGTI11,0.086
4,2016,ISAE4,0.2
5,2016,MOVI3,0.0237
6,2016,MULT3,0.02
7,2016,PETR3,0.0871
8,2016,PETR4,0.1608
9,2016,RAPT4,0.2
10,2017,AZZA3,0.0638
11,2017,BRAP4,0.077
12,2017,CPFE3,0.2
13,2017,CSMG3,0.0621
14,2017,ENGI11,0.0453
15,2017,MOVI3,0.0431
16,2017,MULT3,0.051
17,2017,RADL3,0.1891
18,2017,SUZB3,0.0873
19,2017,TOTS3,0.1814
20,2018,BPAC11,0.0418
21,2018,BRAV3,0.1549
22,2018,EQTL3,0.1053
23,2018,ITSA4,0.2
24,2018,SAPR11,0.0622
25,2018,SUZB3,0.108
26,2018,TOTS3,0.0741
27,2018,USIM5,0.068
28,2018,WEGE3,0.0309
29,2018,YDUQ3,0.1549
30,2019,BPAC11,0.0562
31,2019,CPFE3,0.1605
32,2019,ENGI11,0.0836
33,2019,ITSA4,0.1736
34,2019,ITUB3,0.1242
35,2019,LREN3,0.0496
36,2019,RADL3,0.0437
37,2019,SLCE3,0.1867
38,2019,TOTS3,0.0324
39,2019,VALE3,0.0894
40,2020,ALOS3,0.2
41,2020,CPLE3,0.2
42,2020,CYRE3,0.2
43,2020,ENGI11,0.02
44,2020,ISAE4,0.0201
45,2020,RAPT4,0.0693
46,2020,SUZB3,0.2
47,2020,TAEE11,0.0462
48,2020,TOTS3,0.0245
49,2020,YDUQ3,0.02
50,2021,BRAV3,0.0628
51,2021,BRKM5,0.0821
52,2021,CSNA3,0.0978
53,2021,CYRE3,0.0214
54,2021,ENEV3,0.0616
55,2021,RADL3,0.0262
56,2021,SUZB3,0.193
57,2021,TAEE11,0.2
58,2021,TOTS3,0.0552
59,2021,UGPA3,0.2
60,2022,ALOS3,0.1819
61,2022,BBAS3,0.0245
62,2022,BBSE3,0.1999
63,2022,BEEF3,0.0443
64,2022,BRAP4,0.2
65,2022,CPFE3,0.0253
66,2022,EMBJ3,0.0686
67,2022,POMO4,0.0355
68,2022,TEND3,0.02
69,2022,UGPA3,0.2
70,2023,ALOS3,0.2
71,2023,BBSE3,0.2
72,2023,BRAP4,0.158
73,2023,CSNA3,0.02
74,2023,EMBJ3,0.02
75,2023,ENEV3,0.2
76,2023,MDNE3,0.02
77,2023,PSSA3,0.0906
78,2023,SLCE3,0.0714
79,2023,WEGE3,0.02
80,2024,CSMG3,0.0423
81,2024,CYRE3,0.2
82,2024,ENEV3,0.192
83,2024,JHSF3,0.1528
84,2024,PRIO3,0.0559
85,2024,PSSA3,0.02
86,2024,TOTS3,0.0842
87,2024,VBBR3,0.1139
88,2024,VIVT3,0.1189
89,2025,BBSE3,0.2
90,2025,BRAV3,0.0742
91,2025,COGN3,0.1163
92,2025,CPFE3,0.1679
93,2025,ENEV3,0.1928
94,2025,POMO4,0.0678
95,2025,PRIO3,0.0697
96,2025,TOTS3,0.0713
97,2026,ABEV3,0.1932
98,2026,CSMG3,0.2
99,2026,PRIO3,0.1495
100,2026,RADL3,0.164
101,2026,SUZB3,0.0737
102,2026,VIVT3,0.0598
103,2026,WEGE3,0.0998
