,ABEV3,ALOS3,ANIM3,AXIA3,AZZA3,B3SA3,BBAS3,BBDC3,BBDC4,BBSE3,BEEF3,BPAC11,BRAP4,BRAV3,BRKM5,CMIG4,COGN3,CPFE3,CPLE3,CSAN3,CSMG3,CSNA3,CVCB3,CYRE3,DIRR3,ECOR3,EGIE3,EMBJ3,ENEV3,ENGI11,EQTL3,EZTC3,FLRY3,GGBR4,GOAU4,HYPE3,IGTI11,ISAE4,ITSA4,ITUB3,ITUB4,JHSF3,KLBN11,LREN3,MDNE3,MGLU3,MOTV3,MOVI3,MRVE3,MULT3,PETR3,PETR4,POMO4,PRIO3,PSSA3,RADL3,RAIL3,RAPT4,RENT3,SANB11,SAPR11,SBSP3,SLCE3,SMFT3,SUZB3,TAEE11,TEND3,TOTS3,UGPA3,USIM5,VALE3,VBBR3,VIVT3,WEGE3,YDUQ3
2015,0.375,0.375,0.125,0.5,0.375,0.625,0.5,0.5,0.5,0.375,0.625,-0.125,0.25,0.375,0.75,0.375,0.625,0.75,0.625,0.75,0.25,0.625,0.5,0.375,0.25,0.375,0.5,0.375,0.625,0.875,0.625,0.625,0.625,0.375,0.5,0.75,0.25,0.625,0.625,0.25,0.25,0.375,0.375,0.75,0.25,0.375,0.375,0.75,0.625,0.5,0.375,0.375,0.25,0.375,0.625,0.75,0.625,0.0,0.5,0.5,0.625,0.375,0.75,0.0,0.5,0.375,0.5,0.375,0.875,0.125,0.125,0.0,0.625,0.625,0.5
2016,0.375,0.5,0.375,0.5,0.75,0.25,0.375,0.625,0.625,0.375,0.375,0.875,0.375,0.375,0.25,0.375,0.625,0.5,0.375,0.75,0.875,0.25,0.25,0.25,0.0,0.375,0.75,0.5,0.75,0.625,0.625,0.25,0.75,0.25,0.375,0.625,0.875,0.75,0.375,0.75,0.75,0.125,0.375,0.5,0.125,0.375,0.875,0.375,0.5,0.375,0.5,0.5,0.375,0.625,0.25,0.75,0.5,0.375,0.125,0.5,1.0,0.625,0.375,0.0,0.5,0.125,0.875,0.25,0.375,0.5,0.75,0.0,0.625,0.625,0.5
2017,0.625,0.625,0.75,0.25,0.625,0.375,0.375,0.5,0.5,0.5,0.25,0.25,0.125,0.625,0.625,0.75,0.625,0.375,0.625,0.25,0.625,0.625,0.5,0.125,0.25,0.75,0.375,0.625,1.0,0.5,0.875,0.5,0.75,0.5,0.625,0.5,0.75,0.5,0.625,0.375,0.375,0.375,0.75,0.75,0.875,0.625,0.5,0.5,0.625,0.5,0.5,0.5,0.5,0.625,0.5,0.625,0.875,0.625,0.375,0.625,0.625,0.5,0.75,0.375,0.5,0.375,1.0,0.625,0.375,0.625,0.75,0.625,0.875,0.375,0.625
2018,0.625,0.625,0.375,0.75,0.75,0.5,0.625,0.25,0.25,0.25,0.375,0.0,0.25,0.625,0.5,0.75,0.375,0.75,0.625,0.75,0.5,0.75,0.5,0.75,0.625,0.5,0.875,0.25,0.75,0.625,0.5,0.375,0.75,0.5,0.625,0.625,0.875,0.875,0.5,0.375,0.375,0.625,0.625,0.5,0.125,0.5,0.5,0.75,0.625,0.75,0.625,0.625,0.625,0.875,0.25,0.375,0.875,0.75,0.625,0.375,0.625,0.75,0.875,0.75,0.75,0.5,1.0,0.5,0.75,0.625,0.75,0.75,0.375,0.625,0.625
2019,0.625,0.625,0.375,0.375,0.375,0.5,0.5,0.625,0.625,0.375,1.0,0.375,0.375,0.0,0.25,0.75,0.5,0.75,0.875,0.75,0.75,0.625,0.375,0.5,0.75,0.25,0.5,0.0,0.375,0.625,0.75,0.625,0.625,0.375,0.5,0.25,0.625,0.25,0.5,0.625,0.625,0.75,0.625,0.75,0.625,0.375,1.0,0.5,0.375,0.5,0.5,0.5,0.75,0.75,0.25,0.375,0.625,0.875,0.375,0.625,1.0,0.625,0.5,0.625,0.375,0.375,0.375,0.625,0.75,0.5,0.25,0.25,0.375,0.75,0.5
2020,0.375,0.375,0.5,0.5,0.5,0.875,0.375,0.375,0.375,0.5,0.875,0.25,0.5,0.5,0.375,0.625,0.375,0.5,0.625,0.375,0.75,0.75,0.375,0.75,0.75,0.625,0.75,0.25,0.75,0.5,0.625,0.375,0.375,0.625,0.625,0.75,0.25,0.625,0.625,0.25,0.25,0.875,0.625,0.5,0.25,0.5,0.125,0.375,0.5,0.5,0.625,0.625,0.375,0.375,0.375,0.75,0.5,0.625,0.625,0.375,0.5,0.5,0.875,0.125,0.625,0.625,0.25,0.375,0.75,0.625,0.875,0.5,0.375,0.75,0.375
2021,0.75,0.625,0.5,0.5,0.75,0.625,0.375,0.5,0.5,0.5,0.625,0.75,0.5,0.75,0.75,0.375,0.25,0.5,0.625,0.625,0.25,0.625,0.375,0.5,0.75,0.5,0.625,0.5,0.625,0.875,0.375,0.625,0.875,0.875,0.75,0.5,0.875,0.5,0.875,0.75,0.75,0.875,0.75,0.625,0.375,0.375,0.875,0.625,0.5,0.5,0.75,0.75,0.5,1.0,0.5,0.625,0.625,0.5,0.5,0.5,0.75,0.625,0.625,0.75,0.875,0.5,0.125,0.75,0.5,0.875,0.625,0.625,0.375,0.375,0.5
2022,0.625,0.75,0.75,0.625,0.625,0.75,0.625,0.375,0.375,0.375,0.625,0.375,0.125,0.75,0.125,0.5,0.25,0.5,0.5,0.5,0.625,0.25,0.375,0.125,0.5,0.5,0.375,0.375,0.5,0.625,0.625,0.375,0.5,0.25,0.375,0.625,0.625,0.375,0.25,0.375,0.375,0.25,0.625,0.875,0.625,0.5,0.625,0.375,0.125,0.625,0.625,0.625,0.75,0.875,0.375,1.0,0.625,0.625,0.25,0.375,0.5,0.75,0.75,0.5,0.625,0.5,0.0,0.875,0.625,0.25,0.125,0.375,0.5,0.5,0.625
2023,0.75,0.5,0.375,0.375,0.625,0.375,0.5,0.125,0.125,0.375,0.5,0.5,0.25,0.75,0.125,0.75,0.75,0.625,0.75,0.75,0.75,0.375,0.375,0.625,0.625,0.875,0.75,0.375,0.875,0.75,0.75,0.375,0.375,0.375,0.375,0.75,0.875,0.5,0.375,0.5,0.5,0.375,0.375,0.5,0.5,0.25,0.5,0.25,0.625,0.75,0.375,0.375,1.0,0.625,0.5,0.375,1.0,0.5,0.25,0.125,0.625,0.75,0.5,0.75,0.375,0.375,0.625,0.625,0.875,0.25,0.375,0.625,0.75,0.625,0.625
2024,0.625,0.625,0.875,0.75,0.5,0.75,0.5,0.5,0.5,0.375,0.375,0.375,0.125,0.5,0.375,0.375,0.75,0.625,0.5,0.5,0.625,0.5,0.5,0.75,0.75,0.625,0.375,0.625,0.625,0.75,0.5,0.75,0.875,0.5,0.375,0.375,0.75,0.375,0.5,0.5,0.5,0.625,0.375,0.625,0.75,0.75,0.625,0.625,0.375,0.75,0.25,0.25,0.75,0.75,0.625,0.625,0.5,0.5,0.625,0.25,0.5,0.875,0.375,0.75,0.5,0.625,0.625,0.375,0.5,0.375,0.25,0.5,0.875,0.5,0.75
