,ano,ativo,peso
0,2026,BBSE3,0.0874
1,2026,BRAP4,0.2
2,2026,CMIG4,0.02
3,2026,CSMG3,0.2
4,2026,CXSE3,0.2
5,2026,MULT3,0.02
6,2026,PRIO3,0.2
7,2026,SBSP3,0.0304
8,2026,TAEE11,0.0222
9,2025,BBSE3,0.2
10,2025,CMIG4,0.02
11,2025,COGN3,0.1108
12,2025,CPFE3,0.1974
13,2025,CXSE3,0.02
14,2025,EMBJ3,0.1919
15,2025,IRBR3,0.02
16,2025,PETR4,0.2
17,2025,TAEE11,0.02
18,2024,BBSE3,0.1261
19,2024,BRAP4,0.02
20,2024,CMIG4,0.02
21,2024,CXSE3,0.2
22,2024,EMBJ3,0.2
23,2024,UGPA3,0.2
24,2024,USIM5,0.1739
25,2023,BBSE3,0.2
26,2023,BRAP4,0.2
27,2023,CXSE3,0.0273
28,2023,EMBJ3,0.2
29,2023,SAPR11,0.0927
30,2023,WEGE3,0.2
31,2022,BBSE3,0.2
32,2022,BRAP4,0.2
33,2022,CMIG4,0.02
34,2022,CXSE3,0.02
35,2022,ISAE4,0.1
36,2022,ITSA4,0.02
37,2022,SAPR11,0.02
38,2022,SBSP3,0.02
39,2022,TAEE11,0.2
40,2022,VIVT3,0.2
41,2021,BBSE3,0.02
42,2021,BRAP4,0.02
43,2021,BRAV3,0.1523
44,2021,BRKM5,0.1924
45,2021,CSNA3,0.1553
46,2021,CVCB3,0.02
47,2021,SAPR11,0.02
48,2021,SLCE3,0.2
49,2021,TAEE11,0.2
50,2020,BBSE3,0.02
51,2020,CPLE3,0.2
52,2020,CSAN3,0.02
53,2020,ENEV3,0.02
54,2020,RADL3,0.1
55,2020,SAPR11,0.02
56,2020,SLCE3,0.2
57,2020,SUZB3,0.02
58,2020,VIVT3,0.2
59,2020,WEGE3,0.2
60,2019,BBSE3,0.02
61,2019,BRAP4,0.02
62,2019,CPFE3,0.2
63,2019,ENGI11,0.2
64,2019,ISAE4,0.2
65,2019,ITSA4,0.02
66,2019,JHSF3,0.1706
67,2019,MOTV3,0.02
68,2019,SBSP3,0.1294
69,2018,BBSE3,0.02
70,2018,ENGI11,0.2
71,2018,IRBR3,0.2
72,2018,ITSA4,0.02
73,2018,RENT3,0.1611
74,2018,SAPR11,0.02
75,2018,SLCE3,0.1951
76,2018,SUZB3,0.1437
77,2017,BBSE3,0.02
78,2017,BRAP4,0.1444
79,2017,CMIG4,0.02
80,2017,ECOR3,0.02
81,2017,ISAE4,0.0868
82,2017,MGLU3,0.0888
83,2017,MULT3,0.02
84,2017,PRIO3,0.2
85,2017,SUZB3,0.2
86,2017,TAEE11,0.2
87,2016,BRKM5,0.1406
88,2016,CSAN3,0.1296
89,2016,ECOR3,0.02
90,2016,FLRY3,0.1749
91,2016,HYPE3,0.2
92,2016,ISAE4,0.02
93,2016,MRVE3,0.2
94,2016,MULT3,0.02
95,2016,SBSP3,0.0749
