CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;QT_ACAO_ORDIN_CAP_INTEGR;QT_ACAO_PREF_CAP_INTEGR;QT_ACAO_TOTAL_CAP_INTEGR;QT_ACAO_ORDIN_TESOURO;QT_ACAO_PREF_TESOURO;QT_ACAO_TOTAL_TESOURO
00.000.000/0001-91;2021-03-31;1;BCO BRASIL S.A.;2865417020;0;2865417020;11975061;0;11975061
00.000.000/0001-91;2021-06-30;1;BCO BRASIL S.A.;2865417020;0;2865417020;12017619;0;12017619
00.000.000/0001-91;2021-09-30;1;BCO BRASIL S.A.;2865417020;0;2865417020;12017619;0;12017619
00.000.208/0001-00;2021-03-31;2;BRB BANCO DE BRASILIA S.A.;280146;82900;363046;0;0;0
00.000.208/0001-00;2021-06-30;1;BRB BANCO DE BRASILIA S.A.;280146;82900;363046;0;0;0
00.000.208/0001-00;2021-09-30;3;BRB BANCO DE BRASILIA S.A.;280146;82900;363046;0;0;0
00.001.180/0001-26;2021-03-31;2;CENTRAIS ELET BRAS S.A. - ELETROBRAS;1288842596;280088314;1568930910;0;0;0
00.001.180/0001-26;2021-06-30;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;1288842596;280088314;1568930910;0;0;0
00.001.180/0001-26;2021-09-30;1;CENTRAIS ELET BRAS S.A. - ELETROBRAS;1288843;280088;1568931;0;0;0
00.070.698/0001-11;2021-03-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;7184178;7232205;14416383;0;0;0
00.070.698/0001-11;2021-06-30;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;7184178;7232205;14416383;0;0;0
00.070.698/0001-11;2021-09-30;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;7184178;7232205;14416383;0;0;0
00.080.671/0001-00;2021-03-31;2;CARAMURU ALIMENTOS S.A.;24444000;0;24444000;0;0;0
00.080.671/0001-00;2021-06-30;2;CARAMURU ALIMENTOS S.A.;24444000;0;24444000;0;0;0
00.080.671/0001-00;2021-09-30;1;CARAMURU ALIMENTOS S.A.;24444000;0;24444000;0;0;0
00.192.769/0001-59;2021-03-31;1;NEUMARKT TRADE AND FINANCIAL CENTER S/A;10000;0;10000;0;0;0
00.192.769/0001-59;2021-06-30;1;NEUMARKT TRADE AND FINANCIAL CENTER S/A;10000;0;10000;0;0;0
00.192.769/0001-59;2021-09-30;1;NEUMARKT TRADE AND FINANCIAL CENTER S/A;10000;0;10000;0;0;0
00.194.724/0001-13;2021-03-31;1;AUREN OPERAÇÕES S.A.;2356634;0;2356634;0;0;0
00.194.724/0001-13;2021-06-30;1;AUREN OPERAÇÕES S.A.;2356634;0;2356634;0;0;0
00.194.724/0001-13;2021-09-30;1;AUREN OPERAÇÕES S.A.;2356634;0;2356634;0;0;0
00.242.184/0001-04;2021-03-31;1;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;1147;0;1147;0;0;0
00.242.184/0001-04;2021-06-30;1;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;1182510;0;1182510;0;0;0
00.242.184/0001-04;2021-09-30;1;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;345759521;0;345759521;0;0;0
00.272.185/0001-93;2021-03-31;1;CIMS S.A.;13792701;27585242;41377943;0;0;0
00.272.185/0001-93;2021-06-30;1;CIMS S.A.;16192164;32384168;48576332;0;0;0
00.272.185/0001-93;2021-09-30;1;CIMS S.A.;16192164;32384168;48576332;0;0;0
00.336.701/0001-04;2021-03-31;1;TELEC BRASILEIRAS S.A. TELEBRAS;49457271;18407491;67864762;193;0;193
00.336.701/0001-04;2021-06-30;1;TELEC BRASILEIRAS S.A. TELEBRAS;49457271;18407491;67864762;193;0;193
00.336.701/0001-04;2021-09-30;1;TELEC BRASILEIRAS S.A. TELEBRAS;49457271;18407491;67864762;193;0;193
00.359.742/0001-08;2021-03-31;1;FICTOR ALIMENTOS S.A.;20898;0;20898;0;0;0
00.359.742/0001-08;2021-06-30;1;FICTOR ALIMENTOS S.A.;20898;0;20898;0;0;0
00.359.742/0001-08;2021-09-30;1;FICTOR ALIMENTOS S.A.;20898;0;20898;0;0;0
00.383.281/0001-09;2021-03-31;1;BNDES PARTICIPACOES S.A. - BNDESPAR;1000000;0;1000000;0;0;0
00.383.281/0001-09;2021-06-30;1;BNDES PARTICIPACOES S.A. - BNDESPAR;1000000;0;1000000;0;0;0
00.383.281/0001-09;2021-09-30;1;BNDES PARTICIPACOES S.A. - BNDESPAR;1000000;0;1000000;0;0;0
00.389.481/0001-79;2021-03-31;1;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;140412;0;140412;0;0;0
00.389.481/0001-79;2021-06-30;1;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;140412;0;140412;0;0;0
00.389.481/0001-79;2021-09-30;1;LM TRANSPORTES INTERESTADUAIS SERVIÇOS E COMÉRCIO S.A.;140412;0;140412;0;0;0
00.416.968/0001-01;2021-03-31;1;BANCO INTER S.A.;383452029;380992616;764444645;782520;371340;1153860
00.416.968/0001-01;2021-06-30;1;BANCO INTER S.A.;1150356087;1142977848;2293333935;2347560;1114020;3461580
00.416.968/0001-01;2021-09-30;1;BANCO INTER S.A.;1293373691;1285229952;2578603643;1114020;3461580;2347560
00.545.378/0001-70;2021-03-31;1;SERRA AZUL WATER PARK SA;29118116;0;29118116;0;0;0
00.545.378/0001-70;2021-06-30;1;SERRA AZUL WATER PARK SA;29188116;0;29188116;0;0;0
00.545.378/0001-70;2021-09-30;1;SERRA AZUL WATER PARK SA;29188116;0;29188116;0;0;0
00.622.416/0001-41;2021-03-31;1;STATKRAFT ENERGIAS RENOVAVEIS S.A.;250269447;0;250269447;0;0;0
00.622.416/0001-41;2021-06-30;1;STATKRAFT ENERGIAS RENOVAVEIS S.A.;307533270;0;307533270;0;0;0
00.622.416/0001-41;2021-09-30;1;STATKRAFT ENERGIAS RENOVAVEIS S.A.;307533270;0;307533270;0;0;0
00.644.907/0001-93;2021-03-31;1;INVESTCO S.A.;402202;384204;786406;0;0;0
00.644.907/0001-93;2021-06-30;1;INVESTCO S.A.;402202;384204;786406;0;0;0
00.644.907/0001-93;2021-09-30;1;INVESTCO S.A.;402202;384204;786406;0;0;0
00.743.065/0001-27;2021-03-31;1;LITEL PARTICIPACOES S.A.;215495;0;215495;0;0;0
00.743.065/0001-27;2021-06-30;1;LITEL PARTICIPACOES S.A.;215495;0;215495;0;0;0
00.743.065/0001-27;2021-09-30;1;LITEL PARTICIPACOES S.A.;215495;0;215495;0;0;0
00.776.574/0001-56;2021-03-31;1;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;560085762;0;560085762;0;0;0
00.776.574/0001-56;2021-06-30;1;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;899441153;0;899441153;0;0;0
00.776.574/0001-56;2021-09-30;1;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;903136665;0;903136665;5553600;0;5553600
00.864.214/0001-06;2021-03-31;2;ENERGISA S.A.;755993938;1058567972;1814561910;0;0;0
00.864.214/0001-06;2021-06-30;1;ENERGISA S.A.;755993938;1058567972;1814561910;0;0;0
00.864.214/0001-06;2021-09-30;2;ENERGISA S.A.;755993938;1058567972;1814561910;923837;3695348;4619185
00.897.864/0001-58;2021-03-31;1;SANTA CATARINA PART INVEST SA;200;0;200;0;0;0
00.897.864/0001-58;2021-06-30;1;SANTA CATARINA PART INVEST SA;200;0;200;0;0;0
00.897.864/0001-58;2021-09-30;1;SANTA CATARINA PART INVEST SA;200;0;200;0;0;0
00.924.429/0001-75;2021-03-31;2;FERROVIA CENTRO-ATLANTICA S.A.;136242616;19;136242635;0;0;0
00.924.429/0001-75;2021-06-30;1;FERROVIA CENTRO-ATLANTICA S.A.;136242596;19;136242615;0;0;0
00.924.429/0001-75;2021-09-30;2;FERROVIA CENTRO-ATLANTICA S.A.;142807784;19;142807803;0;0;0
00.938.574/0001-05;2021-03-31;1;CONC RIO-TERESOPOLIS S.A.;48786;37680;86466;0;0;0
00.938.574/0001-05;2021-06-30;1;CONC RIO-TERESOPOLIS S.A.;48786;37680;86466;0;0;0
00.938.574/0001-05;2021-09-30;1;CONC RIO-TERESOPOLIS S.A.;48786;37680;86466;0;0;0
00.974.211/0001-25;2021-03-31;1;LINHA AMARELA S.A. - LAMSA;70666879;141333771;212000650;0;0;0
00.974.211/0001-25;2021-06-30;1;LINHA AMARELA S.A. - LAMSA;70666879;141333771;212000650;0;0;0
00.974.211/0001-25;2021-09-30;1;LINHA AMARELA S.A. - LAMSA;70666879;141333771;212000650;0;0;0
00.979.969/0001-56;2021-03-31;1;CAIXA ADM DIV PUB ESTADUAL SA;69150;0;69150;0;0;0
00.979.969/0001-56;2021-06-30;1;CAIXA ADM DIV PUB ESTADUAL SA;69150262;0;69150262;0;0;0
00.979.969/0001-56;2021-09-30;1;CAIXA ADM DIV PUB ESTADUAL SA;69150262;0;69150262;0;0;0
01.027.058/0001-91;2021-03-31;1;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2716815061;0;2716815061;8783856;0;8783856
01.027.058/0001-91;2021-06-30;1;CIELO S.A. -  INSTITUIÇÃO DE PAGAMENTO;2716815061;0;2716815061;15319975;0;15319975
