CNPJ_CIA;DT_REFER;VERSAO;DENOM_CIA;QT_ACAO_ORDIN_CAP_INTEGR;QT_ACAO_PREF_CAP_INTEGR;QT_ACAO_TOTAL_CAP_INTEGR;QT_ACAO_ORDIN_TESOURO;QT_ACAO_PREF_TESOURO;QT_ACAO_TOTAL_TESOURO
00.000.000/0001-91;2025-03-31;1;BCO BRASIL S.A.;5730834040;0;5730834040;22370429;0;22370429
00.000.000/0001-91;2025-06-30;1;BCO BRASIL S.A.;5730834040;0;5730834040;22370399;0;22370399
00.000.000/0001-91;2025-09-30;1;BCO BRASIL S.A.;5730834040;0;5730834040;22370399;0;22370399
00.000.208/0001-00;2025-03-31;2;BRB BANCO DE BRASILIA S.A.;320121;166060;486181;0;0;0
00.000.208/0001-00;2025-06-30;1;BRB BANCO DE BRASILIA S.A.;320121140;166059947;486181087;0;0;0
00.001.180/0001-26;2025-03-31;2;AXIA ENERGIA S.A.;2027011;280088;2307099;52075;7241;59316
00.001.180/0001-26;2025-06-30;1;AXIA ENERGIA S.A.;2028544;280088;2308632;52216;7241;59457
00.001.180/0001-26;2025-09-30;1;AXIA ENERGIA S.A.;2028544;280088;2308632;52799;7367;60166
00.070.698/0001-11;2025-03-31;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;35920890;36161025;72081915;0;0;0
00.070.698/0001-11;2025-06-30;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;35920890;36161025;72081915;0;0;0
00.070.698/0001-11;2025-09-30;1;COMPANHIA ENERGÉTICA DE BRASÍLIA - CEB;35920890;36161025;72081915;0;0;0
00.080.671/0001-00;2025-03-31;1;CARAMURU ALIMENTOS S.A.;24444000;0;24444000;0;0;0
00.080.671/0001-00;2025-06-30;1;CARAMURU ALIMENTOS S.A.;24444000;0;24444000;0;0;0
00.080.671/0001-00;2025-09-30;1;CARAMURU ALIMENTOS S.A.;24444000;0;24444000;0;0;0
00.194.724/0001-13;2025-03-31;1;AUREN OPERAÇÕES S.A.;2031549574;0;2031549574;0;0;0
00.194.724/0001-13;2025-06-30;1;AUREN OPERAÇÕES S.A.;2154410;0;2154410;0;0;0
00.194.724/0001-13;2025-09-30;1;AUREN OPERAÇÕES S.A.;2804264;0;2804264;0;0;0
00.242.184/0001-04;2025-03-31;1;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;346494097;0;346494097;270988;0;270988
00.242.184/0001-04;2025-06-30;1;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;346494097;0;346494097;269488;0;269488
00.242.184/0001-04;2025-09-30;1;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS S.A.;346494097;0;346494097;216084;0;216084
00.336.701/0001-04;2025-03-31;1;TELEC BRASILEIRAS S.A. TELEBRAS;67975599;18407491;86383090;193;0;193
00.336.701/0001-04;2025-06-30;1;TELEC BRASILEIRAS S.A. TELEBRAS;75190021;18407491;93597512;193;0;193
00.336.701/0001-04;2025-09-30;1;TELEC BRASILEIRAS S.A. TELEBRAS;83575912;18407491;101983403;193;0;193
00.357.038/0001-16;2025-03-31;1;AXIA ENERGIA NORTE S.A.;168044751;0;168044751;10713;0;10713
00.357.038/0001-16;2025-06-30;1;AXIA ENERGIA NORTE S.A.;168044751;0;168044751;10713;0;10713
00.357.038/0001-16;2025-09-30;1;AXIA ENERGIA NORTE S.A.;168044751;0;168044751;10713;0;10713
