,Grupo Risco,Retorno Médio (%),Volatilidade (%),Sharpe,Max Drawdown (%)
AXIA3.SA,Alto Risco,0.263,2.137,0.1232,-27.01
HAPV3.SA,Alto Risco,-0.362,4.024,-0.0899,-77.24
TAEE11.SA,Baixo Risco,0.155,1.145,0.1356,-12.22
BBSE3.SA,Baixo Risco,0.032,1.211,0.0263,-21.81
ISAE4.SA,Baixo Risco,0.108,1.241,0.0869,-13.2
EQTL3.SA,Baixo Risco,0.158,1.341,0.1181,-10.26
ITUB4.SA,Baixo Risco,0.243,1.348,0.1804,-9.2
CXSE3.SA,Baixo Risco,0.109,1.351,0.0807,-17.29
ITSA4.SA,Baixo Risco,0.252,1.353,0.1863,-9.08
CPFE3.SA,Baixo Risco,0.155,1.365,0.1137,-10.61
KLBN11.SA,Baixo Risco,0.047,1.379,0.0339,-13.53
CMIG4.SA,Baixo Risco,0.104,1.399,0.0742,-11.39
SLCE3.SA,Baixo Risco,0.056,1.4,0.0399,-22.72
ALOS3.SA,Baixo Risco,0.258,1.413,0.1824,-8.28
CPLE3.SA,Baixo Risco,0.229,1.417,0.1614,-8.95
ABEV3.SA,Baixo Risco,0.219,1.435,0.1529,-18.91
MOTV3.SA,Baixo Risco,0.119,1.455,0.0821,-12.02
BRAP4.SA,Baixo Risco,0.236,1.455,0.162,-13.49
MULT3.SA,Baixo Risco,0.215,1.471,0.1462,-13.12
EGIE3.SA,Baixo Risco,0.126,1.511,0.0831,-19.68
VIVT3.SA,Baixo Risco,0.217,1.513,0.1434,-8.38
VALE3.SA,Baixo Risco,0.245,1.52,0.1614,-15.39
PETR4.SA,Baixo Risco,0.072,1.526,0.0471,-19.91
ENGI11.SA,Baixo Risco,0.188,1.536,0.1226,-9.71
PSSA3.SA,Baixo Risco,0.159,1.567,0.1012,-19.26
AXIA6.SA,Baixo Risco,0.34,1.573,0.2164,-15.61
SBSP3.SA,Baixo Risco,0.236,1.582,0.1489,-11.31
